[2026-07-20T16:58:38.234Z] GET http://localhost:5174/src/pages/sections/Students.jsx → 200 (47ms, 2950B)
[2026-07-20T16:58:38.234Z] GET http://localhost:5174/src/pages/sections/Cohorts.jsx → 200 (39ms, 2937B)
[2026-07-20T16:58:38.234Z] GET http://localhost:5174/src/pages/sections/Groups.jsx → 200 (35ms, 2917B)
[2026-07-20T16:58:38.234Z] GET http://localhost:5174/src/pages/sections/Templates.jsx → 200 (47ms, 2966B)
[2026-07-20T16:58:38.234Z] GET http://localhost:5174/src/pages/sections/Tutors.jsx → 200 (48ms, 2922B)
[2026-07-20T16:58:38.234Z] GET http://localhost:5174/src/pages/sections/NotFoundPage.jsx → 200 (53ms, 3007B)
[2026-07-20T16:58:38.234Z] GET http://localhost:5174/node_modules/vite/dist/client/env.mjs → 304 (53ms, ?B)
[2026-07-20T16:58:38.261Z] GET http://localhost:5174/node_modules/.vite/deps/@mui_material.js?v=6ba7fd44 → 200 (328ms, 5453784B)
[2026-07-20T16:58:38.590Z] GET http://localhost:5174/node_modules/.vite/deps/react_jsx-runtime.js?v=6ba7fd44 → 200 (4ms, 107294B)
[2026-07-20T16:58:46.561Z] GET http://localhost:5174/src/api/endpoints/health.js → 304 (10ms, ?B)
[2026-07-20T16:58:46.572Z] GET http://localhost:5174/src/api/client.js → 200 (7ms, 6545B)
[2026-07-20T16:58:46.580Z] GET http://localhost:5174/node_modules/.vite/deps/axios.js?v=6ba7fd44 → 200 (36ms, 409917B)
[2026-07-20T16:58:46.580Z] GET http://localhost:5174/src/config/env.js → 304 (4ms, ?B)
[2026-07-20T16:58:46.623Z] GET http://localhost:8000/health → 200 (213ms, 15B)
